iter	RMSE
0	4.532426243
1	4.436442315
2	4.369408901
3	4.275358961
4	4.198508528
5	4.126080816
6	4.053296067
7	3.983893175
8	3.923894584
9	3.870016678
10	3.810904031
11	3.754714232
12	3.702711166
13	3.653813932
14	3.602065736
15	3.560350322
16	3.511207135
17	3.476400745
18	3.447850209
19	3.409684534
20	3.366971867
21	3.348598729
22	3.316348523
23	3.2735977
24	3.227106781
25	3.185843094
26	3.15789617
27	3.132214842
28	3.10448126
29	3.074639796
30	3.052935025
31	3.020658207
32	2.998689299
33	2.97510027
34	2.946197079
35	2.919653032
36	2.891775145
37	2.867714923
38	2.840060166
39	2.8075191
40	2.791358057
41	2.769343348
42	2.750342742
43	2.723600934
44	2.706522364
45	2.688328033
46	2.665720449
47	2.65130369
48	2.637601093
49	2.622310306
50	2.603417083
51	2.585692
52	2.562970537
53	2.54550759
54	2.533804518
55	2.523985165
56	2.506248956
57	2.494687493
58	2.482227696
59	2.463775358
60	2.44702399
61	2.431496918
62	2.421592598
63	2.408536559
64	2.39796627
65	2.387114306
66	2.373367785
67	2.362336538
68	2.346030317
69	2.337920908
70	2.326088214
71	2.310585439
72	2.302092062
73	2.293409943
74	2.2864116
75	2.269044002
76	2.261975596
77	2.255901241
78	2.247862203
79	2.244347166
80	2.238848009
81	2.232003362
82	2.221786133
83	2.213763711
84	2.205387664
85	2.193913759
86	2.186207114
87	2.173992847
88	2.166904684
89	2.15458912
90	2.149834969
91	2.142883495
92	2.133928165
93	2.127950254
94	2.115710822
95	2.107816384
96	2.095430873
97	2.078623147
98	2.072299087
99	2.066865706
100	2.056584109
101	2.049473898
102	2.038792248
103	2.032083463
104	2.026237509
105	2.012984725
106	2.002548004
107	1.999650695
108	1.992782448
109	1.98558372
110	1.975168692
111	1.972219468
112	1.963248744
113	1.951971372
114	1.94434495
115	1.935276123
116	1.927843836
117	1.920008644
118	1.905760553
119	1.896232322
120	1.891285597
121	1.882833056
122	1.877387074
123	1.872869018
124	1.863363194
125	1.855654334
126	1.845059736
127	1.839871646
128	1.833579081
129	1.823148086
130	1.814283694
131	1.806588688
132	1.795045293
133	1.784321278
134	1.778917396
135	1.77158876
136	1.76327188
137	1.755514331
138	1.750823815
139	1.745494079
140	1.734360604
141	1.727181498
142	1.719921171
143	1.712225846
144	1.698277701
145	1.691425926
146	1.679603661
147	1.671484741
148	1.663681248
149	1.658122797
150	1.652055027
151	1.645938558
152	1.63728908
153	1.627191815
154	1.617364839
155	1.608522715
156	1.604312376
157	1.597041706
158	1.592148058
159	1.588531101
160	1.583128402
161	1.576079004
162	1.5727647
163	1.563976959
164	1.557465837
165	1.548068807
166	1.540281411
167	1.530427954
168	1.519566346
169	1.513841217
170	1.50845418
171	1.501743063
172	1.494049373
173	1.487162088
174	1.478774961
175	1.474522537
176	1.467580491
177	1.461177535
178	1.455411527
179	1.451679345
180	1.443316637
181	1.438855459
182	1.432144119
183	1.427452572
184	1.421769554
185	1.417289314
186	1.412757913
187	1.404116374
188	1.397984897
189	1.390612185
190	1.387721593
191	1.381099822
192	1.378422255
193	1.370570517
194	1.365702067
195	1.356678813
196	1.352311819
197	1.349094384
198	1.341361022
199	1.334321114
