iter	Passed	Remaining
0	57	11426
1	57	5736
2	58	3836
3	58	2889
4	59	2325
5	60	1947
6	60	1675
7	61	1471
8	61	1313
9	62	1186
10	63	1083
11	63	996
12	64	922
13	64	860
14	65	804
15	65	756
16	66	713
17	66	675
18	67	641
19	67	611
20	68	583
21	68	556
22	69	533
23	69	511
24	70	491
25	70	473
26	71	456
27	71	441
28	72	426
29	72	413
30	73	400
31	73	387
32	74	376
33	74	365
34	75	355
35	75	345
36	76	336
37	76	327
38	77	319
39	77	311
40	78	303
41	78	296
42	79	289
43	79	282
44	80	276
45	80	270
46	81	264
47	81	259
48	82	253
49	82	248
50	83	243
51	83	238
52	84	233
53	84	229
54	85	224
55	85	220
56	86	216
57	86	212
58	87	208
59	87	204
60	88	200
61	88	197
62	89	193
63	89	190
64	90	187
65	90	184
66	91	181
67	91	178
68	93	176
69	93	173
70	93	170
71	94	167
72	94	165
73	95	162
74	95	159
75	96	157
76	96	154
77	97	152
78	97	149
79	98	147
80	98	145
81	99	142
82	99	140
83	100	138
84	100	136
85	101	134
86	101	132
87	102	130
88	102	128
89	103	126
90	103	124
91	104	122
92	104	120
93	104	118
94	105	116
95	105	114
96	106	112
97	106	111
98	107	109
99	108	108
100	108	106
101	109	104
102	109	103
103	110	101
104	110	100
105	111	98
106	111	96
107	112	95
108	112	93
109	113	92
110	113	90
111	113	89
112	114	88
113	115	86
114	115	85
115	116	84
116	116	82
117	117	81
118	117	80
119	118	78
120	118	77
121	118	76
122	119	74
123	119	73
124	120	72
125	120	71
126	121	69
127	122	68
128	122	67
129	123	66
130	124	65
131	124	64
132	125	63
133	125	62
134	126	60
135	126	59
136	127	58
137	128	57
138	128	56
139	129	55
140	129	54
141	130	53
142	131	52
143	131	51
144	132	50
145	132	49
146	133	48
147	133	46
148	134	45
149	134	44
150	135	43
151	135	42
152	136	41
153	136	40
154	137	39
155	138	39
156	139	38
157	139	37
158	140	36
159	141	35
160	141	34
161	142	33
162	142	32
163	143	31
164	143	30
165	144	29
166	145	28
167	146	27
168	146	26
169	147	25
170	147	25
171	148	24
172	149	23
173	149	22
174	150	21
175	150	20
176	151	19
177	151	18
178	152	17
179	152	16
180	154	16
181	154	15
182	155	14
183	155	13
184	156	12
185	156	11
186	157	10
187	157	10
188	158	9
189	158	8
190	159	7
191	159	6
192	160	5
193	160	4
194	161	4
195	162	3
196	162	2
197	163	1
198	164	0
199	164	0
