Deposition_Method,Feature,SHAP_Importance,Data_Size
slot die-coating,Structure,0.05930178,38
slot die-coating,HTL,0.09646764,38
slot die-coating,HTL-2,0.042574506,38
slot die-coating,HTL_Passivator,0.21522416,38
slot die-coating,HTL-Addictive,0.07590526,38
slot die-coating,ETL,0.16953021,38
slot die-coating,ETL-2,0.12942085,38
slot die-coating,ETL_Passivator,0.19483289,38
slot die-coating,ETL-Addictive,0.07298535,38
slot die-coating,Metal_Electrode,0.038247295,38
slot die-coating,Glass,0.2093821,38
slot die-coating,Active_Area,0.19000925,38
slot die-coating,Precursor_Solution,0.13113745,38
slot die-coating,Precursor_Solution_Addictive,0.105901055,38
slot die-coating,Deposition_Method,0.014906433,38
slot die-coating,Antisolvent,0.012378466,38
slot die-coating,Annealing_Temperature1,0.08450539,38
slot die-coating,Annealing_Time1,0.14055161,38
slot die-coating,Annealing_Temperature2,0.03111369,38
slot die-coating,Annealing_Time2,0.015114681,38
slot die-coating,P1Wavelength(nm),0.020144816,38
slot die-coating,P2Wavelength(nm),0.042864103,38
slot die-coating,P3Wavelength(nm),0.030680148,38
slot die-coating,total_scribing_line_width(μm),0.18276553,38
slot die-coating,P1Width(μm),0.044087622,38
slot die-coating,P2Width(μm),0.028793836,38
slot die-coating,P3Width(μm),0.09699676,38
slot die-coating,GFF,0.5693284,38
slot die-coating,Type,0.034276377,38
slot die-coating,submodule_number,0.11639467,38
slot die-coating,P1Scan_Velocity(mm/s),0.022076175,38
slot die-coating,P1etching_frequency(kHz),0.06239407,38
slot die-coating,P1Spot Size(μm),0.01566474,38
slot die-coating,P1etching_Power(W),0.05486515,38
slot die-coating,P1etching_Power_percentage(%),0.016366947,38
slot die-coating,P2Scan_Velocity,0.06518577,38
slot die-coating,P2etching_frequency(kHz),0.025697663,38
slot die-coating,P2Spot Size(μm),0.03648609,38
slot die-coating,P2etching_Power(W),0.040647563,38
slot die-coating,P2etching_Power_percentage(%),0.050923675,38
slot die-coating,P3Scan_Velocity,0.02694928,38
slot die-coating,P3etching_frequency(kHz),0.012942774,38
slot die-coating,P3Spot Size(μm),0.010867024,38
slot die-coating,P3etching_Power(W),0.1368005,38
slot die-coating,P3etching_Power_percentage(%),0.00935124,38
slot die-coating,P1_P2Scribing_Spacing(μm),0.016871266,38
slot die-coating,P2_P3Scribing_Spacing(μm),0.03330737,38
slot die-coating,brand,0.16972835,38
slot die-coating,Cs,0.20723985,38
slot die-coating,MA,0.49263322,38
slot die-coating,FA,0.78112614,38
slot die-coating,Pb,0.0,38
slot die-coating,I,0.04447011,38
slot die-coating,Br,0.27945432,38
slot die-coating,Cl,0.011825003,38
slot die-coating,Bandgap,0.37055227,38
spin-coating,Structure,0.05187492,178
spin-coating,HTL,0.103859164,178
spin-coating,HTL-2,0.020374056,178
spin-coating,HTL_Passivator,0.21376856,178
spin-coating,HTL-Addictive,0.10348758,178
spin-coating,ETL,0.18777223,178
spin-coating,ETL-2,0.1529356,178
spin-coating,ETL_Passivator,0.1612009,178
spin-coating,ETL-Addictive,0.04714521,178
spin-coating,Metal_Electrode,0.041638657,178
spin-coating,Glass,0.1525387,178
spin-coating,Active_Area,0.19886866,178
spin-coating,Precursor_Solution,0.14751402,178
spin-coating,Precursor_Solution_Addictive,0.13094474,178
spin-coating,Deposition_Method,0.025305346,178
spin-coating,Antisolvent,0.025768904,178
spin-coating,Annealing_Temperature1,0.12141561,178
spin-coating,Annealing_Time1,0.22038954,178
spin-coating,Annealing_Temperature2,0.04637236,178
spin-coating,Annealing_Time2,0.021917444,178
spin-coating,P1Wavelength(nm),0.024580743,178
spin-coating,P2Wavelength(nm),0.045498937,178
spin-coating,P3Wavelength(nm),0.041874994,178
spin-coating,total_scribing_line_width(μm),0.20237303,178
spin-coating,P1Width(μm),0.068558134,178
spin-coating,P2Width(μm),0.042039737,178
spin-coating,P3Width(μm),0.0927595,178
spin-coating,GFF,0.6613023,178
spin-coating,Type,0.044969827,178
spin-coating,submodule_number,0.10879607,178
spin-coating,P1Scan_Velocity(mm/s),0.015706772,178
spin-coating,P1etching_frequency(kHz),0.036184344,178
spin-coating,P1Spot Size(μm),0.01208357,178
spin-coating,P1etching_Power(W),0.05974921,178
spin-coating,P1etching_Power_percentage(%),0.020030463,178
spin-coating,P2Scan_Velocity,0.058917806,178
spin-coating,P2etching_frequency(kHz),0.021925785,178
spin-coating,P2Spot Size(μm),0.036478296,178
spin-coating,P2etching_Power(W),0.04873376,178
spin-coating,P2etching_Power_percentage(%),0.044563662,178
spin-coating,P3Scan_Velocity,0.017989343,178
spin-coating,P3etching_frequency(kHz),0.012221569,178
spin-coating,P3Spot Size(μm),0.008644725,178
spin-coating,P3etching_Power(W),0.15650706,178
spin-coating,P3etching_Power_percentage(%),0.008935377,178
spin-coating,P1_P2Scribing_Spacing(μm),0.03300856,178
spin-coating,P2_P3Scribing_Spacing(μm),0.056621566,178
spin-coating,brand,0.23553267,178
spin-coating,Cs,0.12614667,178
spin-coating,MA,0.64397496,178
spin-coating,FA,1.00677,178
spin-coating,Pb,0.0,178
spin-coating,I,0.04057545,178
spin-coating,Br,0.32412267,178
spin-coating,Cl,0.02245632,178
spin-coating,Bandgap,0.34363344,178
blade-coating,Structure,0.062436353,80
blade-coating,HTL,0.098461114,80
blade-coating,HTL-2,0.025722226,80
blade-coating,HTL_Passivator,0.21613248,80
blade-coating,HTL-Addictive,0.066969186,80
blade-coating,ETL,0.21334095,80
blade-coating,ETL-2,0.16091251,80
blade-coating,ETL_Passivator,0.17604737,80
blade-coating,ETL-Addictive,0.026645154,80
blade-coating,Metal_Electrode,0.046783254,80
blade-coating,Glass,0.18105428,80
blade-coating,Active_Area,0.19739993,80
blade-coating,Precursor_Solution,0.18251446,80
blade-coating,Precursor_Solution_Addictive,0.11237071,80
blade-coating,Deposition_Method,0.029101074,80
blade-coating,Antisolvent,0.008956706,80
blade-coating,Annealing_Temperature1,0.08145271,80
blade-coating,Annealing_Time1,0.14191322,80
blade-coating,Annealing_Temperature2,0.03429669,80
blade-coating,Annealing_Time2,0.014512138,80
blade-coating,P1Wavelength(nm),0.028372765,80
blade-coating,P2Wavelength(nm),0.032983206,80
blade-coating,P3Wavelength(nm),0.031106194,80
blade-coating,total_scribing_line_width(μm),0.20903745,80
blade-coating,P1Width(μm),0.061443605,80
blade-coating,P2Width(μm),0.03763167,80
blade-coating,P3Width(μm),0.093571424,80
blade-coating,GFF,0.68246937,80
blade-coating,Type,0.043081585,80
blade-coating,submodule_number,0.11896515,80
blade-coating,P1Scan_Velocity(mm/s),0.01201945,80
blade-coating,P1etching_frequency(kHz),0.024256416,80
blade-coating,P1Spot Size(μm),0.015053423,80
blade-coating,P1etching_Power(W),0.047889557,80
blade-coating,P1etching_Power_percentage(%),0.01666198,80
blade-coating,P2Scan_Velocity,0.052086096,80
blade-coating,P2etching_frequency(kHz),0.012383231,80
blade-coating,P2Spot Size(μm),0.032368727,80
blade-coating,P2etching_Power(W),0.038475223,80
blade-coating,P2etching_Power_percentage(%),0.046137493,80
blade-coating,P3Scan_Velocity,0.017299935,80
blade-coating,P3etching_frequency(kHz),0.0072930143,80
blade-coating,P3Spot Size(μm),0.007854097,80
blade-coating,P3etching_Power(W),0.15637416,80
blade-coating,P3etching_Power_percentage(%),0.007762027,80
blade-coating,P1_P2Scribing_Spacing(μm),0.024093736,80
blade-coating,P2_P3Scribing_Spacing(μm),0.040798966,80
blade-coating,brand,0.20545249,80
blade-coating,Cs,0.19287483,80
blade-coating,MA,0.53064513,80
blade-coating,FA,0.78698486,80
blade-coating,Pb,0.0,80
blade-coating,I,0.048432563,80
blade-coating,Br,0.29164284,80
blade-coating,Cl,0.02047493,80
blade-coating,Bandgap,0.32046086,80
