Deposition_Method,Feature,SHAP_Importance,Data_Size
slot die-coating,Structure,0.054796208,19
slot die-coating,HTL,0.07705046,19
slot die-coating,HTL-2,0.020396395,19
slot die-coating,HTL_Passivator,0.1303351,19
slot die-coating,HTL-Addictive,0.08126981,19
slot die-coating,ETL,0.14578246,19
slot die-coating,ETL-2,0.12954123,19
slot die-coating,ETL_Passivator,0.26021257,19
slot die-coating,ETL-Addictive,0.02436364,19
slot die-coating,Metal_Electrode,0.026614403,19
slot die-coating,Glass,0.15875508,19
slot die-coating,Active_Area,1.0794623,19
slot die-coating,Precursor_Solution,0.12943879,19
slot die-coating,Precursor_Solution_Addictive,0.098850064,19
slot die-coating,Deposition_Method,0.010994241,19
slot die-coating,Antisolvent,0.013619882,19
slot die-coating,Annealing_Temperature1,0.07009798,19
slot die-coating,Annealing_Time1,0.1182878,19
slot die-coating,Annealing_Temperature2,0.028449833,19
slot die-coating,Annealing_Time2,0.021639872,19
slot die-coating,P1Wavelength(nm),0.01380234,19
slot die-coating,P2Wavelength(nm),0.034078643,19
slot die-coating,P3Wavelength(nm),0.028468944,19
slot die-coating,total_scribing_line_width(μm),0.24207526,19
slot die-coating,P1Width(μm),0.057892863,19
slot die-coating,P2Width(μm),0.025452653,19
slot die-coating,P3Width(μm),0.063777186,19
slot die-coating,GFF,0.7752339,19
slot die-coating,Type,0.076841384,19
slot die-coating,submodule_number,0.25555882,19
slot die-coating,P1Scan_Velocity(mm/s),0.02589902,19
slot die-coating,P1etching_frequency(kHz),0.050857425,19
slot die-coating,P1Spot Size(μm),0.021498676,19
slot die-coating,P1etching_Power(W),0.054977965,19
slot die-coating,P1etching_Power_percentage(%),0.03200482,19
slot die-coating,P2Scan_Velocity,0.08348733,19
slot die-coating,P2etching_frequency(kHz),0.038888473,19
slot die-coating,P2Spot Size(μm),0.05080955,19
slot die-coating,P2etching_Power(W),0.040226154,19
slot die-coating,P2etching_Power_percentage(%),0.13609827,19
slot die-coating,P3Scan_Velocity,0.021673283,19
slot die-coating,P3etching_frequency(kHz),0.013845927,19
slot die-coating,P3Spot Size(μm),0.0123691335,19
slot die-coating,P3etching_Power(W),0.10414108,19
slot die-coating,P3etching_Power_percentage(%),0.031068517,19
slot die-coating,P1_P2Scribing_Spacing(μm),0.03432207,19
slot die-coating,P2_P3Scribing_Spacing(μm),0.07753872,19
slot die-coating,brand,0.20256011,19
slot die-coating,Cs,0.1437978,19
slot die-coating,MA,0.5066995,19
slot die-coating,FA,0.83390737,19
slot die-coating,Pb,0.0,19
slot die-coating,I,0.04407838,19
slot die-coating,Br,0.26894656,19
slot die-coating,Cl,0.022848135,19
slot die-coating,Bandgap,0.44698945,19
spin-coating,Structure,0.043882616,15
spin-coating,HTL,0.052832704,15
spin-coating,HTL-2,0.0061997473,15
spin-coating,HTL_Passivator,0.21661015,15
spin-coating,HTL-Addictive,0.13851486,15
spin-coating,ETL,0.18192594,15
spin-coating,ETL-2,0.13769613,15
spin-coating,ETL_Passivator,0.12226551,15
spin-coating,ETL-Addictive,0.0986466,15
spin-coating,Metal_Electrode,0.017140621,15
spin-coating,Glass,0.25669348,15
spin-coating,Active_Area,0.9179865,15
spin-coating,Precursor_Solution,0.15801978,15
spin-coating,Precursor_Solution_Addictive,0.12911439,15
spin-coating,Deposition_Method,0.022115411,15
spin-coating,Antisolvent,0.026021142,15
spin-coating,Annealing_Temperature1,0.107215166,15
spin-coating,Annealing_Time1,0.14635165,15
spin-coating,Annealing_Temperature2,0.03784226,15
spin-coating,Annealing_Time2,0.02137243,15
spin-coating,P1Wavelength(nm),0.02319331,15
spin-coating,P2Wavelength(nm),0.039013766,15
spin-coating,P3Wavelength(nm),0.046518695,15
spin-coating,total_scribing_line_width(μm),0.25732312,15
spin-coating,P1Width(μm),0.04386811,15
spin-coating,P2Width(μm),0.04502922,15
spin-coating,P3Width(μm),0.062126745,15
spin-coating,GFF,0.5722858,15
spin-coating,Type,0.03217194,15
spin-coating,submodule_number,0.13925011,15
spin-coating,P1Scan_Velocity(mm/s),0.009242823,15
spin-coating,P1etching_frequency(kHz),0.027218087,15
spin-coating,P1Spot Size(μm),0.040596448,15
spin-coating,P1etching_Power(W),0.06540342,15
spin-coating,P1etching_Power_percentage(%),0.01256479,15
spin-coating,P2Scan_Velocity,0.04542183,15
spin-coating,P2etching_frequency(kHz),0.030510137,15
spin-coating,P2Spot Size(μm),0.084979124,15
spin-coating,P2etching_Power(W),0.047779385,15
spin-coating,P2etching_Power_percentage(%),0.042658027,15
spin-coating,P3Scan_Velocity,0.007507875,15
spin-coating,P3etching_frequency(kHz),0.009541316,15
spin-coating,P3Spot Size(μm),0.030961076,15
spin-coating,P3etching_Power(W),0.21906956,15
spin-coating,P3etching_Power_percentage(%),0.007633995,15
spin-coating,P1_P2Scribing_Spacing(μm),0.026323732,15
spin-coating,P2_P3Scribing_Spacing(μm),0.044476107,15
spin-coating,brand,0.26292595,15
spin-coating,Cs,0.11027279,15
spin-coating,MA,0.5008112,15
spin-coating,FA,0.73433584,15
spin-coating,Pb,0.0,15
spin-coating,I,0.0373871,15
spin-coating,Br,0.28819904,15
spin-coating,Cl,0.061183188,15
spin-coating,Bandgap,0.32533884,15
blade-coating,Structure,0.06316951,10
blade-coating,HTL,0.12382193,10
blade-coating,HTL-2,0.034004025,10
blade-coating,HTL_Passivator,0.115528844,10
blade-coating,HTL-Addictive,0.09260049,10
blade-coating,ETL,0.16436692,10
blade-coating,ETL-2,0.15147957,10
blade-coating,ETL_Passivator,0.11893837,10
blade-coating,ETL-Addictive,0.020983487,10
blade-coating,Metal_Electrode,0.06675185,10
blade-coating,Glass,0.0817741,10
blade-coating,Active_Area,0.8162324,10
blade-coating,Precursor_Solution,0.17791954,10
blade-coating,Precursor_Solution_Addictive,0.122333065,10
blade-coating,Deposition_Method,0.028445963,10
blade-coating,Antisolvent,0.008201388,10
blade-coating,Annealing_Temperature1,0.05456925,10
blade-coating,Annealing_Time1,0.117088,10
blade-coating,Annealing_Temperature2,0.038129386,10
blade-coating,Annealing_Time2,0.013092959,10
blade-coating,P1Wavelength(nm),0.018035922,10
blade-coating,P2Wavelength(nm),0.03452291,10
blade-coating,P3Wavelength(nm),0.037442964,10
blade-coating,total_scribing_line_width(μm),0.09727016,10
blade-coating,P1Width(μm),0.06976007,10
blade-coating,P2Width(μm),0.058717895,10
blade-coating,P3Width(μm),0.05173998,10
blade-coating,GFF,0.84840906,10
blade-coating,Type,0.043687604,10
blade-coating,submodule_number,0.17488317,10
blade-coating,P1Scan_Velocity(mm/s),0.011358655,10
blade-coating,P1etching_frequency(kHz),0.027967189,10
blade-coating,P1Spot Size(μm),0.028099079,10
blade-coating,P1etching_Power(W),0.06558286,10
blade-coating,P1etching_Power_percentage(%),0.03881616,10
blade-coating,P2Scan_Velocity,0.039235182,10
blade-coating,P2etching_frequency(kHz),0.024377527,10
blade-coating,P2Spot Size(μm),0.05179594,10
blade-coating,P2etching_Power(W),0.04762376,10
blade-coating,P2etching_Power_percentage(%),0.08688831,10
blade-coating,P3Scan_Velocity,0.0092881825,10
blade-coating,P3etching_frequency(kHz),0.010141594,10
blade-coating,P3Spot Size(μm),0.012859553,10
blade-coating,P3etching_Power(W),0.2538102,10
blade-coating,P3etching_Power_percentage(%),0.01633088,10
blade-coating,P1_P2Scribing_Spacing(μm),0.013988937,10
