FA_Value,Ensemble_SHAP_Value,FA_Feature
0.0,-1.717313511042526,FA
0.0,-1.3747957409586242,FA
0.0,-1.0962496388792893,FA
0.0,-1.1590663528097158,FA
0.0,-1.4190520492269911,FA
0.0,-1.3316591268064943,FA
0.0,-1.3866787991992504,FA
0.0,-1.4605422208983596,FA
0.0,-1.56122814693922,FA
0.0,-1.7267142504903825,FA
0.0,-1.809168825595614,FA
0.0,-1.5387298780704766,FA
0.0,-1.6828533050796919,FA
0.0,-1.314469365767128,FA
0.0,-0.9900596987232846,FA
0.0,-0.9643716278978787,FA
0.0,-1.254110480318063,FA
0.0,-1.5977905792330702,FA
0.0,-1.5191720431541986,FA
0.0,-1.0093042405865236,FA
0.0,-1.070997874879723,FA
0.0,-1.4940784618009917,FA
0.0,-1.128847699088124,FA
0.0,-1.6488722235506268,FA
0.0,-1.0555882506704632,FA
0.0,-1.2683886663318615,FA
0.0,-1.436224721730114,FA
0.0,-1.4391822107581567,FA
0.0,-1.4109860559777545,FA
0.0,-1.6030771034827436,FA
0.0,-1.5571712212549778,FA
0.0,-1.487899457656094,FA
0.0,-1.0439891576536702,FA
0.0,-1.0454180997152807,FA
0.0,-1.7476242495383618,FA
0.0,-1.09002130565425,FA
0.0,-1.7502211172194126,FA
0.0,-1.2334631432723024,FA
0.0,-1.3343852352868444,FA
0.0,-1.3194813977687727,FA
0.0,-1.339125128429432,FA
0.0,-1.3364713989142194,FA
0.0,-1.5716759591255751,FA
0.0,-1.0880029149188797,FA
0.0,-2.0565946326765383,FA
0.0,-1.9415186777566797,FA
0.0,-1.4203203703100085,FA
0.0,-1.2381639112270348,FA
0.0,-1.8174493465051103,FA
0.0,-1.9283782584865388,FA
0.0,-2.056767012623098,FA
0.0,-2.0290222123960127,FA
0.0,-0.8984021209730446,FA
0.0,-1.535446528666825,FA
0.0,-2.1163788047101093,FA
0.0,-2.0462476424042597,FA
0.0,-1.1353651731761958,FA
0.0,-1.6913755628182732,FA
0.0,-1.8872861574723365,FA
0.0,-1.2730576207963598,FA
0.0,-1.6694188290867586,FA
0.0,-1.0687151917527615,FA
0.0,-1.0565299963067012,FA
0.0,-1.4822214191783907,FA
0.0,-1.3742971356631357,FA
0.0,-2.0716598775764763,FA
0.0,-2.002093337294336,FA
0.0,-1.6141322500084638,FA
0.0,-1.0663470194461644,FA
0.0,-1.1922462376614682,FA
0.0,-1.352256511791938,FA
0.0,-1.8849272727086714,FA
0.0,-1.158285325132071,FA
0.0,-1.9793783546151127,FA
0.0,-1.8691042495874735,FA
0.0,-1.494347680472092,FA
0.0,-1.080090841111851,FA
0.0,-1.0879838784263844,FA
0.0,-1.2392400050038468,FA
0.0,-1.1022631079822576,FA
0.0,-1.1894555840405503,FA
0.0,-1.7453728260996284,FA
0.0,-1.5794906594369809,FA
0.0,-1.570509636935534,FA
0.0,-1.365067885069656,FA
0.0,-1.8524190807973024,FA
0.0,-1.7573630527904465,FA
0.0,-1.4304866225975892,FA
0.0,-0.9721032694230075,FA
0.0,-1.8732081455255103,FA
0.0,-1.8642988092816664,FA
0.0,-2.26208479193155,FA
0.0,-2.1972443848740593,FA
0.0,-1.620689390021846,FA
0.0,-1.621923556512905,FA
0.0,-1.9219413687845144,FA
0.0,-1.8856891585206728,FA
0.0,-1.8856891585206728,FA
0.0,-1.6619940932979416,FA
0.0,-1.5584362640920268,FA
0.0,-1.6749880776859336,FA
0.0,-1.5878589084625159,FA
0.0,-1.680576649272045,FA
0.0,-1.566613242755574,FA
0.0,-1.047603135903515,FA
0.0,-1.365072220812108,FA
0.0,-1.8949538349885566,FA
0.0,-1.9043404360274865,FA
0.0,-1.8987532597854089,FA
0.0,-1.312054367431891,FA
0.0,-1.3450497191868758,FA
0.0,-2.0191795572584486,FA
0.0,-1.3936469427860683,FA
0.0,-1.2863528124815002,FA
0.0,-1.3464473161178612,FA
0.0,-1.4532706668355515,FA
0.0,-1.157824992368613,FA
0.0,-1.708522166426953,FA
0.0,-1.6091489845325597,FA
0.0,-2.026322420113374,FA
0.0,-1.8732880999961439,FA
0.0,-2.011902299787878,FA
0.0,-1.114394292244415,FA
0.0,-1.6882499199770629,FA
0.0,-1.7068358325035087,FA
0.0,-1.5880162617505555,FA
0.0,-1.694190958424253,FA
0.0,-1.7873867917624326,FA
0.0,-1.2852283599411152,FA
0.0,-1.6607202070233429,FA
0.0,-1.6165364116218108,FA
0.0,-1.7411567169588196,FA
0.0,-1.6141322500084638,FA
0.0,-1.56588859377805,FA
0.0,-1.105407329894551,FA
0.0,-2.027812307296572,FA
0.0,-1.1880187425646735,FA
0.0,-1.8977993174611754,FA
0.0,-1.9622495089063963,FA
0.0,-1.6109418764702514,FA
0.0,-1.869665253511803,FA
0.0,-1.2218867153021955,FA
0.0,-1.4139480710940275,FA
0.0,-1.9183776171579758,FA
0.0,-1.318854693399059,FA
0.0,-1.9906732432421548,FA
0.0,-1.2400232537720648,FA
0.0,-1.9182621285845514,FA
0.0,-0.9687928424712446,FA
0.0,-1.167790585459414,FA
0.0,-1.1162511673686626,FA
0.0,-1.576649154387705,FA
0.0,-1.6748540943283268,FA
0.0,-1.4780092157227518,FA
0.0,-1.356343082980208,FA
0.14,0.34116123421172084,FA
0.3,0.49850274194810357,FA
0.3,0.5019883209884277,FA
0.3,0.44686847498313476,FA
0.3,0.4264914728380747,FA
0.3,0.4247263360911569,FA
0.3,0.5680964760018108,FA
0.3,0.44841238691378105,FA
0.31,0.5548811799587479,FA
0.35,0.4614989941207842,FA
0.35,0.5074073621688157,FA
0.35,0.44798610747117396,FA
0.4,0.48513333346919907,FA
0.4,0.4777026348138011,FA
0.4,0.66304431595762,FA
0.4,0.6783172608940706,FA
0.54,0.2893806006857982,FA
0.54,0.2507015250150891,FA
0.54,0.23965954412306137,FA
0.55,0.2611709391105342,FA
0.55,0.24938270531234402,FA
0.55,0.39412997736261857,FA
0.6,0.6414703471347898,FA
0.63,0.49612070825437415,FA
0.66,0.7225325314036593,FA
0.67,0.4596954824652988,FA
0.67,0.24233668775374428,FA
0.67,0.5423220546979933,FA
0.68,0.5470762189192963,FA
0.68,0.6365599178112553,FA
0.68,0.6433260769672638,FA
0.69,0.2852346249027066,FA
0.69,0.6409831362128042,FA
0.7,0.3419936127068593,FA
0.7,0.7583539269961781,FA
0.7,0.39113610151057404,FA
0.7,0.34284216265608725,FA
0.7,0.8930215505938581,FA
0.7,0.7271062188801394,FA
0.7,0.30540450728106916,FA
0.71,0.8223144944138697,FA
0.71,0.7326553409347022,FA
0.71,0.25536550026431204,FA
0.71,0.8011498362000136,FA
0.71,0.7974760680046145,FA
0.71,0.22376828436948137,FA
0.72,0.7003181261705835,FA
0.73,0.8416868294190699,FA
0.73,0.6168735373583487,FA
0.74,0.7515094130672383,FA
0.74,0.7125410070438607,FA
0.74,0.8245397049213837,FA
0.741,0.6355557246657144,FA
0.75,0.8041313697663195,FA
0.75,0.8913972184309715,FA
0.75,0.8944557404413653,FA
0.75,0.686409208245101,FA
0.75,0.8048826615208124,FA
0.75,0.6919327854574855,FA
0.75,0.7605857630185642,FA
0.75,0.5811855014385685,FA
0.76,0.48657789241288185,FA
0.76,0.6272029134707025,FA
0.76,0.6544896858797369,FA
0.76,0.48657789241288185,FA
0.76,0.40813343017812814,FA
0.76,0.6247129931831308,FA
0.78,0.7325449331980616,FA
0.78,0.6426141433704355,FA
0.78,0.5282162192344705,FA
0.78,0.76616123787006,FA
0.78,0.44913759316446206,FA
0.78,0.5004066307653116,FA
0.78,0.648204878859983,FA
0.782,0.6636931884109439,FA
0.784,0.7052887969170625,FA
0.7885,0.7146019367317378,FA
0.7885,0.5700885396060896,FA
0.7885,0.6643686240006947,FA
0.7885,0.7398857018492057,FA
0.7885,0.49734477572051544,FA
0.79,0.4450135933192815,FA
0.79,1.0579706294916036,FA
0.79,0.32860511764477307,FA
0.79,0.4409028087790895,FA
0.79,0.7262670177323108,FA
0.79,0.44085306096648114,FA
0.79,0.5695358690180599,FA
0.8,0.8302550521667162,FA
0.8,0.8181261158259503,FA
0.8,0.8421066636497193,FA
0.8,0.562837066042982,FA
0.8,0.7203430271309725,FA
0.8,0.6451798552003722,FA
0.8,0.6410272834868015,FA
0.8,0.7335236293083589,FA
0.8,0.7085404779726445,FA
0.8,0.6629257028453688,FA
0.8,0.8175478602846848,FA
0.8,0.649682225382433,FA
0.8,0.6774767206954501,FA
0.8,0.42029492811663954,FA
0.8,0.35596222156084123,FA
0.8,0.3518852978660071,FA
0.8,0.40612556936185695,FA
0.8,0.597957183706719,FA
0.8,0.683466244903725,FA
0.8,0.7099174342036096,FA
0.8,0.7774287714597228,FA
0.8,0.679497923983534,FA
0.8,0.7719512569860917,FA
0.8,0.6163469482873145,FA
0.8,0.7413577671371139,FA
0.8,0.67054925086453,FA
0.8,0.7576600987743674,FA
0.8,0.8396964745559836,FA
0.8075,0.48834674857826643,FA
0.8075,0.4633144290884686,FA
0.8075,0.7381978509075493,FA
0.8075,0.5951245316337093,FA
0.8075,0.4882183079974799,FA
0.8075,0.5862329360991037,FA
0.8075,0.48412503380218946,FA
0.8075,0.5437983058837169,FA
0.8075,0.5447701239508578,FA
0.8075,0.6615918403789395,FA
0.81,0.5686719286191071,FA
0.81,0.6044691147963172,FA
0.81,0.4042754843235433,FA
0.81,0.4136818521000333,FA
0.81,0.46499919903557574,FA
0.83,0.5817506881937169,FA
0.83,0.8956301897305721,FA
0.83,0.6950309224242825,FA
0.83,0.8876239172609077,FA
0.83,0.5006599701815622,FA
0.83,0.7836476487991304,FA
0.83,0.7045200878292972,FA
0.83,0.8101493073759487,FA
0.83,0.4026492348411122,FA
0.83,0.8976370346077426,FA
0.83,0.6999191691373463,FA
0.83,0.6119144106352694,FA
0.833,0.7869733727879006,FA
0.833,0.6333838578180282,FA
0.833,0.7941449392892734,FA
0.833,0.7594007938997089,FA
0.84,0.9173542161314706,FA
0.84,0.871048943764035,FA
0.84,0.5684972698283887,FA
0.85,0.7007751778540082,FA
0.85,0.666256016414519,FA
0.85,0.8398779760059121,FA
0.85,0.9466526959922521,FA
0.85,0.44800816722946135,FA
0.85,0.6026646095818791,FA
0.85,0.7796925662579518,FA
0.85,0.568724474005887,FA
0.85,0.8818262766421239,FA
0.85,0.5874693908135111,FA
0.85,0.6755823486320411,FA
0.85,0.8182764268386349,FA
0.85,0.8785374411731646,FA
0.85,0.8593726080677881,FA
0.85,0.7784602902551054,FA
0.85,0.9866657415395834,FA
0.85,0.8439140263782521,FA
0.85,0.7396664662421952,FA
0.85,0.3922602423341942,FA
0.85,0.5785936056578815,FA
0.85,0.719493763608677,FA
0.85,0.5749227451088312,FA
0.85,0.646009863436365,FA
0.85,0.6328548072979457,FA
0.85,0.8661138586018836,FA
0.85,0.8107960474925553,FA
0.85,0.7721568582933795,FA
0.85,0.6712892168559424,FA
0.85,0.7686425258133723,FA
0.85,0.7704010359290305,FA
0.855,0.8272340092777084,FA
0.87,1.0510452909490628,FA
0.875,0.5816416969959716,FA
0.88,0.5931096942596737,FA
0.88,0.7049572326301888,FA
0.89,0.6848315823785847,FA
0.89,0.8326128917324613,FA
0.89,0.9226595551575987,FA
0.9,0.7530407353218014,FA
0.9,0.6905329294183443,FA
0.9,0.31873003257851756,FA
0.9,0.16544542850729482,FA
0.9,0.8341010427945357,FA
0.9,0.8061298784546043,FA
0.9,0.8087949013203872,FA
0.9,0.8430382485627401,FA
0.9,1.0505998787466477,FA
0.9,0.8046351812202589,FA
0.9,0.44656522118419,FA
0.9,0.920866662944817,FA
0.9,0.8849965863753394,FA
0.9,0.23648612493579602,FA
0.9,0.8991952022598242,FA
0.9,0.8233583468647994,FA
0.9,0.9450224457997973,FA
0.9,1.0201292383062601,FA
0.9,0.8941805821099702,FA
0.9,0.8879740660965756,FA
0.9,0.6142839068031449,FA
0.9,0.7051028665606627,FA
0.9,0.7922751652467184,FA
0.9,0.912299763633869,FA
0.9,0.863904561081988,FA
0.9025,0.7692662240725394,FA
0.9025,0.9165108290321988,FA
0.9025,0.7296691856793378,FA
0.9025,0.841181863822238,FA
0.9025,0.9661619510218267,FA
0.9025,0.9084245888640359,FA
0.91,0.9032887309881592,FA
0.91,0.82187610853376,FA
0.91,0.9182567192811277,FA
0.91,0.7251804843285996,FA
0.91,0.9568891886177469,FA
0.917,0.7085267964201241,FA
0.92,0.9161419025154549,FA
0.92,0.5267130299415441,FA
0.92,0.6180161363312151,FA
0.92,0.939142638400416,FA
0.93,0.7468242763070917,FA
0.93,0.7757478890675042,FA
0.93,0.9894082351896223,FA
0.93,0.7024153015423625,FA
0.93,0.6277941222887219,FA
0.9309999999999999,0.9512836263612214,FA
0.9309999999999999,1.0824890474827698,FA
0.9309999999999999,1.096371846041044,FA
0.95,0.8771367252396229,FA
0.95,0.8933446957441415,FA
0.95,0.7547016828587393,FA
0.95,0.8070094079465442,FA
0.95,0.7307038887248627,FA
0.95,0.9479954107654799,FA
0.95,0.9662729901505382,FA
0.95,0.9193481206679843,FA
0.95,0.6638759587817402,FA
0.95,1.0279368978878893,FA
0.95,0.7006390745093635,FA
0.95,1.003369822953938,FA
0.95,0.912423741569955,FA
0.95,0.9841925098889607,FA
0.95,0.6505241375660955,FA
0.95,0.9637538983629982,FA
0.95,0.8645273810310635,FA
0.95,1.137644420884077,FA
0.95,0.5909121956619504,FA
0.95,0.8844981608541549,FA
0.95,0.7822618193208805,FA
0.95,0.5698773702548983,FA
0.95,0.5519749365810245,FA
0.95,0.9970092721917256,FA
0.95,0.8011561596459029,FA
0.95,0.9069850204690612,FA
0.95,0.6812662952190127,FA
0.95,0.9055186373901318,FA
0.95,0.6579190752173405,FA
0.95,0.7661540330062331,FA
0.96,0.8519687580915969,FA
0.97,0.6751346008709886,FA
0.97,0.7349031535410131,FA
0.97,0.6075522292297229,FA
0.97,0.5243442888969096,FA
0.97,0.7851948317250291,FA
0.97,0.6274954517145805,FA
0.97,0.8213187613952005,FA
0.98,0.74038954582229,FA
1.0,0.4956687419019749,FA
1.0,0.6743027465980883,FA
1.0,0.5197577755882277,FA
1.0,0.9114354075941185,FA
1.0,0.921731285762828,FA
1.0,0.9373455842121411,FA
1.0,0.7523523205470637,FA
1.0,0.7572325203548278,FA
1.0,0.7589890215142672,FA
1.0,0.7958687261384099,FA
1.0,0.7971474974215067,FA
1.0,0.7294519751387398,FA
1.0,0.938585528829581,FA
1.0,0.8742915528136678,FA
1.0,0.5393446674002744,FA
1.0,0.7490275284525861,FA
1.0,0.6833612121378005,FA
1.0,0.606141456478761,FA
1.0,0.8231255443449133,FA
1.0,0.5295614724113238,FA
1.0,0.7587483238815592,FA
1.0,0.8230821460026345,FA
1.0,0.9143181093022897,FA
1.0,0.6346285541556409,FA
1.0,0.9172895399148894,FA
1.0,0.8420945988527602,FA
1.0,0.6868398319190414,FA
1.0,0.4679077381897532,FA
1.0,0.6868398319190414,FA
1.0,0.8664244628385243,FA
1.0,0.7763040818018216,FA
