Original,Encoded
 DMF,0
 DMF:NMP(125:24),1
 isopropanol,2
0,3
2-ME,4
2-ME+ACN+NMP,5
2-ME+DMI,6
2-ME+DMSO,7
2-ME+DMSO+ACN,8
2P,9
ACN,10
ACN+2-ME+DMSO,11
ACN:2-ME(3:2),12
DMA,13
DMF,14
DMF+2-ME+NMP,15
DMF+DMSO,16
DMF+DMSO+ACN,17
DMF+DMSO+GBL,18
DMF+DMSO+IPA,19
DMF+IPA,20
DMF+NMP,21
DMF+NMP+2-ME,22
DMF:CHP(9:1),23
DMF:DMI(19:1),24
DMF:DMPU(9:1),25
DMF:DMSO (4:1),26
DMF:DMSO (4:6),27
DMF:DMSO(14:0.65),28
DMF:DMSO(19:1),29
DMF:DMSO(1:1),30
DMF:DMSO(1:4),31
DMF:DMSO(1:8),32
DMF:DMSO(20:3),33
DMF:DMSO(3.16:1),34
DMF:DMSO(3.3:1),35
DMF:DMSO(3:1),36
DMF:DMSO(4.75:1),37
DMF:DMSO(4:1),38
DMF:DMSO(5:1),39
DMF:DMSO(6:4),40
DMF:DMSO(7.6:1),41
DMF:DMSO(7:1),42
DMF:DMSO(7:3),43
DMF:DMSO(8.5:1.5),44
DMF:DMSO(8:1),45
DMF:DMSO(9:1),46
DMF:DMSO:GBL(1:1:1),47
DMF:DMSO:GBL(2:1:2),48
DMF:DMSO:NMP(4:1:1),49
DMF:DMSO:NMP(5.5:0.9:0.1),50
DMF:N1(9.1:0.9),51
DMF:NMP ( 5:1),52
DMF:NMP ( 8:1),53
DMF:NMP (1:1),54
DMF:NMP (4:1),55
DMF:NMP (5:95),56
DMF:NMP (6:1),57
DMF:NMP (8:9),58
DMF:NMP (9:1),59
DMF:NMP(180:29),60
DMF:NMP(1:1),61
DMF:NMP(6:1),62
DMF:NMP(95:5),63
DMF:NMP(9:1),64
DMF:TBP=9:1,65
DMSO,66
DMSO+GBL,67
DMSO+IPA,68
DMSO:GBL(1:1),69
DMSO:GBL(3:7),70
DMSO:GBL(8:2),71
GBL,72
GBL+EtOH+AcOH,73
GBL:2P(4:1),74
GBL:DMF:DMSO(16:4:1.125),75
GBL:DMSO(1:1),76
GBL:DMSO(1:9),77
GBL:DMSO(7:3),78
GBL:MSM(8:1),79
IPA,80
NMP+DMF,81
NMP:DMF(9:8),82
THF:ME(0.9:1),83
acetonitrile,84
ethanol,85
