Original,Encoded
0,0
AMG,1
Advanced Optowave,2
Advanced Optowave Corporation,3
"CL Technology Co., Ltd",4
DaZe  Optoelectronics,5
EL-MKRF,6
Han's laser,7
Hangzhou Zhongneng Optoelectronic  Technology,8
Helios,9
Hongtuo,10
INNOLAS,11
KT-PZ150,12
Keyence,13
Musashi Engineering,14
Nd:YAG,15
Nd:YVO4,16
Newport,17
OPVtech,18
Photonics Industries,19
Resonetics,20
Rofin Baasel Lasertech,21
SClPRIOS GmbH,22
Saule Technologies,23
Spectra physics,24
Spectronix,25
Suzhou Jieweiman New Energy Technology,26
THG-YAG,27
Talisker Ultra,28
Triumph,29
Trotec,30
UV-O3,31
Universal Laser Systems,32
Wophotonics,33
Wuhan Hongtuo,34
ZNLB-22V1-LW300,35
Zhongneng Photoelectric,36
μ-Lab,37
