Feature,Original,Encoded
Structure,n-i-p,0
Structure,p-i-n,1
HTL,0,0
HTL,2T-NATA,1
HTL,4PA-spiro,2
HTL,A-4PADCB,3
HTL,AI2O3,4
HTL,CT,5
HTL,Carbon,6
HTL,CbzNaph,7
HTL,EH44,8
HTL,FTPE-OSMe,9
HTL,FTPE-ST,10
HTL,LiCoO₂,11
HTL,MFGO,12
HTL,Me-4PACz,13
HTL,Me-4PACz+MeO-2PACz,14
HTL,MeO-2PACz,15
HTL,MoO3 ,16
HTL,NiMgLiO,17
HTL,NiOx,18
HTL,P3HT,19
HTL,P3HT-COOH,20
HTL,PEDOT:EVA,21
HTL,PEDOT:GO,22
HTL,PEDOT:PSS,23
HTL,PTAA,24
HTL,PTZ-FI,25
HTL,Poly4PACz,26
HTL,Py3,27
HTL,SA-BPP,28
HTL,SRE-NiOx,29
HTL,Spiro-OMeTAD,30
HTL,Spiro-TTB,31
HTL,TAA-tetramer,32
HTL,TFB,33
HTL,TPA-PT-C6,34
HTL,V1366,35
HTL,hc-PEDOT:PSS,36
HTL,spiro-Naph,37
HTL-2, P3HT,0
HTL-2,0,1
HTL-2,AI2O3,2
HTL-2,AL17,3
HTL-2,BCP,4
HTL-2,Me-4PACz,5
HTL-2,MeO-2PACz,6
HTL-2,MoO3,7
HTL-2,NiOx,8
HTL-2,P3HT,9
HTL-2,PEDOT:EVA,10
HTL-2,PEDOT：PSS,11
HTL-2,PFN,12
HTL-2,PTAA,13
HTL-2,Ph-4PACz,14
HTL-2,Poly-4PACz,15
HTL-2,m-Al2O3,16
HTL-2,oil-PEDOT:PSS,17
HTL_Passivator,(CH3)3SI,0
HTL_Passivator,0,1
HTL_Passivator,2-Cl-PEAI,2
HTL_Passivator,2CF3-PMABr,3
HTL_Passivator,4HPA,4
HTL_Passivator,4MeO-PEAI,5
HTL_Passivator,ACBr,6
HTL_Passivator,Acrylamide,7
HTL_Passivator,BAAc,8
HTL_Passivator,BJ-GO,9
HTL_Passivator,BzA,10
HTL_Passivator,CF3-Cl-PhABr,11
HTL_Passivator,CHEAI,12
HTL_Passivator,CS2,13
HTL_Passivator,Crown,14
HTL_Passivator,CsCF3SO3,15
HTL_Passivator,CsPbBr3,16
HTL_Passivator,DABr,17
HTL_Passivator,DOFo,18
HTL_Passivator,DPA-TFA,19
