feature,importance
GFF,1.0553000022850239
FA,0.937446554866994
MA,0.8799783388594388
Structure,0.6160733120585538
Glass,0.6136605570654626
HTL_Passivator,0.5849072054958776
P3Width(μm),0.43918594811280026
ETL,0.4152859411616572
P1Width(μm),0.39505039765792355
Annealing_Temperature2,0.3837790898094891
brand,0.3830347690586708
Br,0.37424598871435394
I,0.34621090376498503
Precursor_Solution,0.33959251389499145
Antisolvent,0.33083026540932703
P1etching_Power_percentage(%),0.3247303156328292
P3etching_Power(W),0.2957630205994275
HTL-Addictive,0.27301457623754904
P1etching_frequency(kHz),0.27261268444215914
P3Scan_Velocity,0.2650789726268966
submodule_number,0.2648367003630206
ETL-2,0.264266701045306
P2_P3Scribing_Spacing(μm),0.24693331024865456
Metal_Electrode,0.22855355514902329
P1_P2Scribing_Spacing(μm),0.22211528229183175
P1Wavelength(nm),0.22065792464323145
P2etching_Power_percentage(%),0.21772224462428005
P3Spot Size(μm),0.19184123603695685
P1Scan_Velocity(mm/s),0.18087332438226614
ETL_Passivator,0.1676343764137859
P2Spot Size(μm),0.16434469656672795
P2Wavelength(nm),0.15272615774620363
Cl,0.13152106245100642
Cs,0.11027197469940464
P1etching_Power(W),0.09803712695014942
P2etching_frequency(kHz),0.0975523342060828
P3etching_Power_percentage(%),0.09703593121835058
Deposition_Method,0.09447714649947156
total_scribing_line_width(μm),0.09276654888797882
Active_Area,0.09107504654326667
Type,0.0832818410255926
HTL,0.07751074168645315
P3etching_frequency(kHz),0.0727909029977729
P2Scan_Velocity,0.06786617697364715
P3Wavelength(nm),0.06488015096012406
Bandgap,0.06102128122124176
P2Width(μm),0.056581520706431056
P2etching_Power(W),0.055372291589158705
P1Spot Size(μm),0.051083903223136974
Precursor_Solution_Addictive,0.048294521669913854
ETL-Addictive,0.03223253570089023
HTL-2,0.026579537033876804
Annealing_Temperature1,0.020141767373064237
Annealing_Time2,0.007418935610778139
Annealing_Time1,0.005640989174535234
Pb,0.0
