FA_Value,SHAP_Value
0.0,-2.2152721306919347
0.0,-1.6909476985722938
0.0,-1.663697845892405
0.0,-2.289784234081876
0.0,-2.1635710686069594
0.0,-2.1635710686069594
0.0,-2.269860334021464
0.0,-1.657132214078438
0.0,-1.7976755459005112
0.0,-2.189767564386131
0.0,-2.3613339099821693
0.0,-2.0319583454353904
0.0,-1.712063132200972
0.0,-2.1281486935427583
0.0,-2.2158339552994852
0.0,-1.5649672816637867
0.0,-2.028167751348044
0.0,-2.4756025228807803
0.0,-2.5990329449648284
0.0,-2.330421910334901
0.0,-2.613925595608899
0.0,-2.3640905697702004
0.0,-1.9433777297079478
0.0,-2.293432928738416
0.0,-1.772775235212727
0.0,-1.7254847416272179
0.0,-1.4520479128420292
0.0,-1.7841824713035797
0.0,-2.020153865048072
0.0,-2.3071992682097386
0.0,-1.9728739332344931
0.0,-2.002804132187089
0.0,-2.584932646627154
0.0,-1.8968406878576796
0.0,-1.869582739742904
0.0,-2.0262148779682683
0.0,-1.9770803315704257
0.0,-1.934187981573009
0.0,-1.8155157469946663
0.0,-1.8034956412762493
0.0,-2.056326394740442
0.0,-2.2121962860360735
0.0,-2.19333677703236
0.0,-1.967613831713215
0.0,-1.8157902872831555
0.0,-2.2544620256570886
0.0,-2.19333677703236
0.0,-2.411291640651645
0.0,-2.4116357093905862
0.0,-2.3689005264739573
0.0,-1.903284075669447
0.0,-1.9727450956467896
0.0,-1.9210114394559672
0.0,-1.9742560885472542
0.0,-2.221792486894374
0.0,-1.9973767572438335
0.0,-1.9981622748131178
0.0,-2.122960076352893
0.0,-2.122960076352893
0.0,-2.122960076352893
0.0,-2.046902377248313
0.0,-1.9742560885472542
0.0,-1.858453526157756
0.0,-2.192813613341878
0.0,-1.6381576991890991
0.0,-2.0291861181059914
0.0,-1.7550632844187568
0.0,-2.1823016574014815
0.0,-2.173725667752141
0.0,-2.1945887745217827
0.0,-1.8145636194880739
0.0,-1.9312188527787408
0.0,-1.7888929689077897
0.0,-1.787127443046081
0.0,-2.1938032569524983
0.0,-2.0610112121362687
0.0,-1.4348672132206373
0.0,-1.9443251902094787
0.0,-1.922682303837975
0.0,-1.922682303837975
0.3,-1.609862150367418
0.3,-1.237042275919321
0.3,-1.609862150367418
0.3,-1.6297480927005434
0.3,-1.73984171154311
0.3,-1.4573219158150983
0.3,-1.4214155055114703
0.35,-0.923381339707897
0.35,-0.9348684180772712
0.4,-1.1114206495258236
0.4,-1.100277639895391
0.54,-1.1521232191853419
0.54,-1.3004788978717914
0.54,-1.1959154785689632
0.55,-0.5933478617677739
0.55,-0.7059586590736296
0.55,-0.6099539961839707
