iter	R2	RMSE
0	0.06720751481	4.603177435
1	0.1231230962	4.463078359
2	0.1758363744	4.326850779
3	0.2058354476	4.247373426
4	0.2520036349	4.122065989
5	0.2844629759	4.031635415
6	0.3283940122	3.905912194
7	0.3633301723	3.802965019
8	0.3952678498	3.706352534
9	0.4238686238	3.617645107
10	0.4522174601	3.52751841
11	0.4770649582	3.446585596
12	0.5037252193	3.35757946
13	0.5237863207	3.289017085
14	0.5349220428	3.250334626
15	0.5494473674	3.199174741
16	0.5644737409	3.145374552
17	0.5795961366	3.090285083
18	0.5911328158	3.047588485
19	0.602508497	3.004893754
20	0.6110944149	2.97226335
21	0.618784635	2.94272985
22	0.6301636012	2.898478092
23	0.6373007842	2.870374113
24	0.6525707489	2.809301729
25	0.6632686435	2.765712141
26	0.670161586	2.7372585
27	0.6777047204	2.705778046
28	0.6872465097	2.665423846
29	0.6926055192	2.642489249
30	0.703208271	2.596516539
31	0.710309495	2.565265537
32	0.7166842517	2.536883678
33	0.7232447392	2.507339479
34	0.7269338035	2.490572376
35	0.7333607068	2.461088726
36	0.7385695325	2.436931356
37	0.7435859643	2.413437704
38	0.7471771287	2.396477611
39	0.7536454815	2.36562261
40	0.7610443349	2.329828008
41	0.7650958683	2.309992257
42	0.7720549844	2.275517849
43	0.7764584075	2.253431529
44	0.7813939134	2.228416273
45	0.7863266345	2.203131355
46	0.7909298831	2.179270687
47	0.7937863737	2.164331977
48	0.7992882445	2.135264113
49	0.8025653619	2.11776063
50	0.8059028301	2.099784849
51	0.8126385232	2.063029065
52	0.815998061	2.04444954
53	0.8185628441	2.030150858
54	0.8224729009	2.008156358
55	0.825011293	1.993747736
56	0.8276561501	1.978623174
57	0.8302843864	1.963478254
58	0.8340542475	1.941548603
59	0.8376283891	1.920526243
60	0.8409428122	1.900823735
61	0.842930058	1.888912054
62	0.8451825339	1.875319087
63	0.8472733845	1.862612701
64	0.8528469196	1.828310171
65	0.8570553315	1.801976725
66	0.8599493399	1.783642353
67	0.8625799536	1.766811599
68	0.8649827452	1.751297118
69	0.8667195737	1.739996533
70	0.8680460087	1.731316475
71	0.8719787783	1.705321156
72	0.8741503054	1.690796263
73	0.8751256787	1.684231427
74	0.8794957818	1.654498284
75	0.8812133536	1.642665012
76	0.8864372857	1.606138817
77	0.8880379691	1.594779264
78	0.8890875441	1.587286626
79	0.8913981429	1.570665926
80	0.8929930404	1.559090081
81	0.8948125276	1.545778299
82	0.8956887407	1.539326658
83	0.8989415627	1.51513554
84	0.9006282331	1.502438494
85	0.9014143653	1.496483782
86	0.9021499027	1.490890774
87	0.9053860968	1.466029387
88	0.9075612492	1.449079559
89	0.9097047054	1.432180499
90	0.9105673864	1.425322555
91	0.9116681151	1.416524026
92	0.9134999719	1.401758895
93	0.9144540742	1.394006701
94	0.9157668785	1.383268999
95	0.916782062	1.374908103
