iter	Passed	Remaining
0	0	74
1	0	67
2	0	64
3	0	62
4	0	60
5	0	61
6	0	60
7	0	60
8	0	60
9	0	60
10	0	59
11	0	59
12	0	59
13	1	58
14	1	58
15	1	58
16	1	58
17	1	57
18	1	57
19	1	57
20	1	57
21	1	57
22	1	57
23	1	57
24	1	57
25	1	57
26	1	56
27	2	56
28	2	56
29	2	56
30	2	56
31	2	55
32	2	55
33	2	55
34	2	55
35	2	55
36	2	55
37	2	54
38	2	54
39	2	54
40	2	54
41	3	54
42	3	54
43	3	54
44	3	54
45	3	54
46	3	54
47	3	54
48	3	53
49	3	53
50	3	53
51	3	53
52	3	53
53	3	53
54	3	53
55	4	53
56	4	53
57	4	53
58	4	52
59	4	52
60	4	52
61	4	52
62	4	52
63	4	52
64	4	52
65	4	52
66	4	52
67	4	52
68	4	51
69	4	51
70	5	51
71	5	51
72	5	51
73	5	51
74	5	51
75	5	51
76	5	51
77	5	52
78	5	52
79	5	52
80	5	52
81	5	52
82	6	52
83	6	52
84	6	52
85	6	52
86	6	52
87	6	52
88	6	52
89	6	52
90	6	51
91	6	52
92	6	51
93	6	51
94	6	51
95	7	51
96	7	51
97	7	51
98	7	51
99	7	51
100	7	51
101	7	51
102	7	51
103	7	51
104	7	51
105	7	51
106	7	51
107	7	51
108	8	51
109	8	50
110	8	50
111	8	50
112	8	50
113	8	50
114	8	50
115	8	50
116	8	50
117	8	50
118	8	50
119	8	50
120	8	49
121	8	49
122	9	49
123	9	49
124	9	49
125	9	49
126	9	49
127	9	49
128	9	49
129	9	49
130	9	49
131	9	48
132	9	48
133	9	48
134	9	48
135	9	48
136	10	48
137	10	48
138	10	48
139	10	48
140	10	48
141	10	48
142	10	48
143	10	48
144	10	48
145	10	48
146	10	48
147	10	48
148	11	48
149	11	48
150	11	48
151	11	47
152	11	47
153	11	47
154	11	47
155	11	47
156	11	47
157	11	47
158	11	47
159	11	47
160	11	47
161	11	47
162	12	46
163	12	46
164	12	46
165	12	46
166	12	46
167	12	46
168	12	46
169	12	46
170	12	46
171	12	46
172	12	46
173	12	46
174	13	48
175	13	48
176	13	48
177	13	48
178	13	48
179	14	48
180	14	48
181	14	48
182	14	47
