X_Position,Y_Position,X_Feature,Y_Feature,Correlation,P_value,Significance,Abs_Correlation
1,1,P2Width(μm),P2Width(μm),1.0,1.0,Diagonal,1.0
1,2,P2Width(μm),P3Width(μm),0.7670048569601003,7.35517466734845e-57,***,0.7670048569601003
1,3,P2Width(μm),total_scribing_line_width(μm),0.28855286738617614,6.584066007225742e-07,***,0.28855286738617614
1,4,P2Width(μm),P2_P3Scribing_Spacing(μm),0.00028598327484577734,0.9961512429990027,ns,0.00028598327484577734
1,5,P2Width(μm),GFF,-0.4436794753789446,2.8477909575732078e-15,***,0.4436794753789446
1,6,P2Width(μm),laser_energy_density_index,0.008362749638298817,0.8878240101635778,ns,0.008362749638298817
1,7,P2Width(μm),P1Wavelength(nm),-0.16998408275456392,0.0038746142488304777,**,0.16998408275456392
1,8,P2Width(μm),P2Wavelength(nm),-0.151733234323451,0.010046418176436176,*,0.151733234323451
1,9,P2Width(μm),P3Wavelength(nm),-0.1569468640543096,0.00772697200025129,**,0.1569468640543096
1,10,P2Width(μm),brand,-0.0800112945325537,0.1764617560621264,ns,0.0800112945325537
1,11,P2Width(μm),PCE,-0.037837936326890385,0.5231830825643373,ns,0.037837936326890385
2,1,P3Width(μm),P2Width(μm),0.7670048569601003,7.35517466734845e-57,***,0.7670048569601003
2,2,P3Width(μm),P3Width(μm),1.0,1.0,Diagonal,1.0
2,3,P3Width(μm),total_scribing_line_width(μm),0.18275827693811028,0.0018782721626940035,**,0.18275827693811028
2,4,P3Width(μm),P2_P3Scribing_Spacing(μm),0.08532827293845499,0.14933766745697055,ns,0.08532827293845499
2,5,P3Width(μm),GFF,-0.5228233396492522,1.5530653272093176e-21,***,0.5228233396492522
2,6,P3Width(μm),laser_energy_density_index,-0.007425407746389653,0.9003279105484453,ns,0.007425407746389653
2,7,P3Width(μm),P1Wavelength(nm),-0.17861049210911653,0.002388606395750786,**,0.17861049210911653
2,8,P3Width(μm),P2Wavelength(nm),-0.2154409232913009,0.00023585808249410248,***,0.2154409232913009
2,9,P3Width(μm),P3Wavelength(nm),-0.16464502871422854,0.005170765668008289,**,0.16464502871422854
2,10,P3Width(μm),brand,-0.05732954063181681,0.333153441156041,ns,0.05732954063181681
2,11,P3Width(μm),PCE,0.0034498150681142223,0.9535983297464538,ns,0.0034498150681142223
3,1,total_scribing_line_width(μm),P2Width(μm),0.28855286738617614,6.584066007225742e-07,***,0.28855286738617614
3,2,total_scribing_line_width(μm),P3Width(μm),0.18275827693811028,0.0018782721626940035,**,0.18275827693811028
3,3,total_scribing_line_width(μm),total_scribing_line_width(μm),1.0,1.0,Diagonal,1.0
3,4,total_scribing_line_width(μm),P2_P3Scribing_Spacing(μm),0.33197250133570366,8.22884519926865e-09,***,0.33197250133570366
3,5,total_scribing_line_width(μm),GFF,-0.2159763381278223,0.0002273540890264394,***,0.2159763381278223
3,6,total_scribing_line_width(μm),laser_energy_density_index,-0.06562299156748073,0.2678328685706234,ns,0.06562299156748073
3,7,total_scribing_line_width(μm),P1Wavelength(nm),-0.30451093642063765,1.427182525000372e-07,***,0.30451093642063765
3,8,total_scribing_line_width(μm),P2Wavelength(nm),-0.2123281118001016,0.0002914740132660512,***,0.2123281118001016
3,9,total_scribing_line_width(μm),P3Wavelength(nm),-0.25078354670888187,1.7165025268922604e-05,***,0.25078354670888187
3,10,total_scribing_line_width(μm),brand,0.04038666606505522,0.49556422014409895,ns,0.04038666606505522
3,11,total_scribing_line_width(μm),PCE,-0.22171000906868715,0.0001525697277583639,***,0.22171000906868715
4,1,P2_P3Scribing_Spacing(μm),P2Width(μm),0.00028598327484577734,0.9961512429990027,ns,0.00028598327484577734
4,2,P2_P3Scribing_Spacing(μm),P3Width(μm),0.08532827293845499,0.14933766745697055,ns,0.08532827293845499
4,3,P2_P3Scribing_Spacing(μm),total_scribing_line_width(μm),0.33197250133570366,8.22884519926865e-09,***,0.33197250133570366
4,4,P2_P3Scribing_Spacing(μm),P2_P3Scribing_Spacing(μm),1.0,1.0,Diagonal,1.0
4,5,P2_P3Scribing_Spacing(μm),GFF,-0.02368509101847169,0.6894836970384493,ns,0.02368509101847169
4,6,P2_P3Scribing_Spacing(μm),laser_energy_density_index,-0.046478155488393125,0.43281858292266273,ns,0.046478155488393125
4,7,P2_P3Scribing_Spacing(μm),P1Wavelength(nm),-0.20874801417250244,0.00037045402702291634,***,0.20874801417250244
4,8,P2_P3Scribing_Spacing(μm),P2Wavelength(nm),-0.17544719547808285,0.002859418570645981,**,0.17544719547808285
4,9,P2_P3Scribing_Spacing(μm),P3Wavelength(nm),-0.167507222626398,0.004434177516856748,**,0.167507222626398
4,10,P2_P3Scribing_Spacing(μm),brand,0.17590514744896465,0.002786410908292446,**,0.17590514744896465
4,11,P2_P3Scribing_Spacing(μm),PCE,-0.12512782762659916,0.03410034350390551,*,0.12512782762659916
5,1,GFF,P2Width(μm),-0.4436794753789446,2.8477909575732078e-15,***,0.4436794753789446
5,2,GFF,P3Width(μm),-0.5228233396492522,1.5530653272093176e-21,***,0.5228233396492522
5,3,GFF,total_scribing_line_width(μm),-0.2159763381278223,0.0002273540890264394,***,0.2159763381278223
5,4,GFF,P2_P3Scribing_Spacing(μm),-0.02368509101847169,0.6894836970384493,ns,0.02368509101847169
5,5,GFF,GFF,1.0,1.0,Diagonal,1.0
5,6,GFF,laser_energy_density_index,0.0665276565927762,0.2612777021208161,ns,0.0665276565927762
5,7,GFF,P1Wavelength(nm),0.18475029493670594,0.001670479152024101,**,0.18475029493670594
5,8,GFF,P2Wavelength(nm),0.2815579247978235,1.2502831852720731e-06,***,0.2815579247978235
5,9,GFF,P3Wavelength(nm),0.262358088054596,6.656660181802039e-06,***,0.262358088054596
5,10,GFF,brand,0.08593688918063846,0.14644673385321202,ns,0.08593688918063846
5,11,GFF,PCE,0.34402103239346293,2.1458710775402742e-09,***,0.34402103239346293
6,1,laser_energy_density_index,P2Width(μm),0.008362749638298817,0.8878240101635778,ns,0.008362749638298817
6,2,laser_energy_density_index,P3Width(μm),-0.007425407746389653,0.9003279105484453,ns,0.007425407746389653
6,3,laser_energy_density_index,total_scribing_line_width(μm),-0.06562299156748073,0.2678328685706234,ns,0.06562299156748073
6,4,laser_energy_density_index,P2_P3Scribing_Spacing(μm),-0.046478155488393125,0.43281858292266273,ns,0.046478155488393125
6,5,laser_energy_density_index,GFF,0.0665276565927762,0.2612777021208161,ns,0.0665276565927762
6,6,laser_energy_density_index,laser_energy_density_index,1.0,1.0,Diagonal,1.0
6,7,laser_energy_density_index,P1Wavelength(nm),0.1667834406792779,0.004610916636032207,**,0.1667834406792779
6,8,laser_energy_density_index,P2Wavelength(nm),0.24202482049652124,3.412390687258513e-05,***,0.24202482049652124
6,9,laser_energy_density_index,P3Wavelength(nm),0.24321953403021518,3.111722565965563e-05,***,0.24321953403021518
6,10,laser_energy_density_index,brand,-0.0656593660235391,0.2675671506295161,ns,0.0656593660235391
6,11,laser_energy_density_index,PCE,0.07252114856411553,0.22063632935591646,ns,0.07252114856411553
7,1,P1Wavelength(nm),P2Width(μm),-0.16998408275456392,0.0038746142488304777,**,0.16998408275456392
7,2,P1Wavelength(nm),P3Width(μm),-0.17861049210911653,0.002388606395750786,**,0.17861049210911653
7,3,P1Wavelength(nm),total_scribing_line_width(μm),-0.30451093642063765,1.427182525000372e-07,***,0.30451093642063765
7,4,P1Wavelength(nm),P2_P3Scribing_Spacing(μm),-0.20874801417250244,0.00037045402702291634,***,0.20874801417250244
7,5,P1Wavelength(nm),GFF,0.18475029493670594,0.001670479152024101,**,0.18475029493670594
7,6,P1Wavelength(nm),laser_energy_density_index,0.1667834406792779,0.004610916636032207,**,0.1667834406792779
7,7,P1Wavelength(nm),P1Wavelength(nm),1.0,1.0,Diagonal,1.0
7,8,P1Wavelength(nm),P2Wavelength(nm),0.7573189853764658,1.128631565637843e-54,***,0.7573189853764658
7,9,P1Wavelength(nm),P3Wavelength(nm),0.7698093911154065,1.6357921147236887e-57,***,0.7698093911154065
7,10,P1Wavelength(nm),brand,0.14227855769872014,0.015860227647260538,*,0.14227855769872014
7,11,P1Wavelength(nm),PCE,0.13189096529282643,0.025457222537062278,*,0.13189096529282643
8,1,P2Wavelength(nm),P2Width(μm),-0.151733234323451,0.010046418176436176,*,0.151733234323451
8,2,P2Wavelength(nm),P3Width(μm),-0.2154409232913009,0.00023585808249410248,***,0.2154409232913009
8,3,P2Wavelength(nm),total_scribing_line_width(μm),-0.2123281118001016,0.0002914740132660512,***,0.2123281118001016
8,4,P2Wavelength(nm),P2_P3Scribing_Spacing(μm),-0.17544719547808285,0.002859418570645981,**,0.17544719547808285
8,5,P2Wavelength(nm),GFF,0.2815579247978235,1.2502831852720731e-06,***,0.2815579247978235
8,6,P2Wavelength(nm),laser_energy_density_index,0.24202482049652124,3.412390687258513e-05,***,0.24202482049652124
8,7,P2Wavelength(nm),P1Wavelength(nm),0.7573189853764658,1.128631565637843e-54,***,0.7573189853764658
8,8,P2Wavelength(nm),P2Wavelength(nm),1.0,1.0,Diagonal,1.0
8,9,P2Wavelength(nm),P3Wavelength(nm),0.9573344909971165,1.099429461677593e-155,***,0.9573344909971165
8,10,P2Wavelength(nm),brand,0.19577948723142494,0.0008543215006303644,***,0.19577948723142494
8,11,P2Wavelength(nm),PCE,0.1449009300709476,0.01400850310311111,*,0.1449009300709476
9,1,P3Wavelength(nm),P2Width(μm),-0.1569468640543096,0.00772697200025129,**,0.1569468640543096
9,2,P3Wavelength(nm),P3Width(μm),-0.16464502871422854,0.005170765668008289,**,0.16464502871422854
9,3,P3Wavelength(nm),total_scribing_line_width(μm),-0.25078354670888187,1.7165025268922604e-05,***,0.25078354670888187
9,4,P3Wavelength(nm),P2_P3Scribing_Spacing(μm),-0.167507222626398,0.004434177516856748,**,0.167507222626398
9,5,P3Wavelength(nm),GFF,0.262358088054596,6.656660181802039e-06,***,0.262358088054596
9,6,P3Wavelength(nm),laser_energy_density_index,0.24321953403021518,3.111722565965563e-05,***,0.24321953403021518
9,7,P3Wavelength(nm),P1Wavelength(nm),0.7698093911154065,1.6357921147236887e-57,***,0.7698093911154065
9,8,P3Wavelength(nm),P2Wavelength(nm),0.9573344909971165,1.099429461677593e-155,***,0.9573344909971165
9,9,P3Wavelength(nm),P3Wavelength(nm),1.0,1.0,Diagonal,1.0
9,10,P3Wavelength(nm),brand,0.22007428735689238,0.00017113836095362448,***,0.22007428735689238
9,11,P3Wavelength(nm),PCE,0.17204157764798078,0.0034592052153365254,**,0.17204157764798078
10,1,brand,P2Width(μm),-0.0800112945325537,0.1764617560621264,ns,0.0800112945325537
10,2,brand,P3Width(μm),-0.05732954063181681,0.333153441156041,ns,0.05732954063181681
10,3,brand,total_scribing_line_width(μm),0.04038666606505522,0.49556422014409895,ns,0.04038666606505522
10,4,brand,P2_P3Scribing_Spacing(μm),0.17590514744896465,0.002786410908292446,**,0.17590514744896465
10,5,brand,GFF,0.08593688918063846,0.14644673385321202,ns,0.08593688918063846
10,6,brand,laser_energy_density_index,-0.0656593660235391,0.2675671506295161,ns,0.0656593660235391
10,7,brand,P1Wavelength(nm),0.14227855769872014,0.015860227647260538,*,0.14227855769872014
10,8,brand,P2Wavelength(nm),0.19577948723142494,0.0008543215006303644,***,0.19577948723142494
10,9,brand,P3Wavelength(nm),0.22007428735689238,0.00017113836095362448,***,0.22007428735689238
10,10,brand,brand,1.0,1.0,Diagonal,1.0
10,11,brand,PCE,-0.14661862228746897,0.012901067652536072,*,0.14661862228746897
11,1,PCE,P2Width(μm),-0.037837936326890385,0.5231830825643373,ns,0.037837936326890385
11,2,PCE,P3Width(μm),0.0034498150681142223,0.9535983297464538,ns,0.0034498150681142223
11,3,PCE,total_scribing_line_width(μm),-0.22171000906868715,0.0001525697277583639,***,0.22171000906868715
11,4,PCE,P2_P3Scribing_Spacing(μm),-0.12512782762659916,0.03410034350390551,*,0.12512782762659916
11,5,PCE,GFF,0.34402103239346293,2.1458710775402742e-09,***,0.34402103239346293
11,6,PCE,laser_energy_density_index,0.07252114856411553,0.22063632935591646,ns,0.07252114856411553
11,7,PCE,P1Wavelength(nm),0.13189096529282643,0.025457222537062278,*,0.13189096529282643
11,8,PCE,P2Wavelength(nm),0.1449009300709476,0.01400850310311111,*,0.1449009300709476
11,9,PCE,P3Wavelength(nm),0.17204157764798078,0.0034592052153365254,**,0.17204157764798078
11,10,PCE,brand,-0.14661862228746897,0.012901067652536072,*,0.14661862228746897
11,11,PCE,PCE,1.0,1.0,Diagonal,1.0
