,P2Width(μm),P3Width(μm),total_scribing_line_width(μm),P2_P3Scribing_Spacing(μm),GFF,laser_energy_density_index,P1Wavelength(nm),P2Wavelength(nm),P3Wavelength(nm),brand,PCE
P2Width(μm),1.0,0.7670048569601003,0.28855286738617614,0.00028598327484577734,-0.4436794753789446,0.008362749638298817,-0.16998408275456392,-0.151733234323451,-0.1569468640543096,-0.0800112945325537,-0.037837936326890385
P3Width(μm),0.7670048569601003,1.0,0.18275827693811028,0.08532827293845499,-0.5228233396492522,-0.007425407746389653,-0.17861049210911653,-0.2154409232913009,-0.16464502871422854,-0.05732954063181681,0.0034498150681142223
total_scribing_line_width(μm),0.28855286738617614,0.18275827693811028,1.0,0.33197250133570366,-0.2159763381278223,-0.06562299156748073,-0.30451093642063765,-0.2123281118001016,-0.25078354670888187,0.04038666606505522,-0.22171000906868715
P2_P3Scribing_Spacing(μm),0.00028598327484577734,0.08532827293845499,0.33197250133570366,1.0,-0.02368509101847169,-0.046478155488393125,-0.20874801417250244,-0.17544719547808285,-0.167507222626398,0.17590514744896465,-0.12512782762659916
GFF,-0.4436794753789446,-0.5228233396492522,-0.2159763381278223,-0.02368509101847169,1.0,0.0665276565927762,0.18475029493670594,0.2815579247978235,0.262358088054596,0.08593688918063846,0.34402103239346293
laser_energy_density_index,0.008362749638298817,-0.007425407746389653,-0.06562299156748073,-0.046478155488393125,0.0665276565927762,1.0,0.1667834406792779,0.24202482049652124,0.24321953403021518,-0.0656593660235391,0.07252114856411553
P1Wavelength(nm),-0.16998408275456392,-0.17861049210911653,-0.30451093642063765,-0.20874801417250244,0.18475029493670594,0.1667834406792779,1.0,0.7573189853764658,0.7698093911154065,0.14227855769872014,0.13189096529282643
P2Wavelength(nm),-0.151733234323451,-0.2154409232913009,-0.2123281118001016,-0.17544719547808285,0.2815579247978235,0.24202482049652124,0.7573189853764658,1.0,0.9573344909971165,0.19577948723142494,0.1449009300709476
P3Wavelength(nm),-0.1569468640543096,-0.16464502871422854,-0.25078354670888187,-0.167507222626398,0.262358088054596,0.24321953403021518,0.7698093911154065,0.9573344909971165,1.0,0.22007428735689238,0.17204157764798078
brand,-0.0800112945325537,-0.05732954063181681,0.04038666606505522,0.17590514744896465,0.08593688918063846,-0.0656593660235391,0.14227855769872014,0.19577948723142494,0.22007428735689238,1.0,-0.14661862228746897
PCE,-0.037837936326890385,0.0034498150681142223,-0.22171000906868715,-0.12512782762659916,0.34402103239346293,0.07252114856411553,0.13189096529282643,0.1449009300709476,0.17204157764798078,-0.14661862228746897,1.0
