Original,Encoded
 L-α-PC,0
0,1
4-CBA,2
5-AVAI,3
BHC+LP+MAH2PO2+p-F-PEAI+NDDAI+ZnCl2,4
BHC+n-DAI+LP+MAH2PO2+p-F-PEAI+DMSO,5
BMCl,6
BMIMBF4,7
BMIMSCN,8
BPyBF4+PbI2,9
CBH+n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI,10
CHEAI,11
CHP,12
CMPS,13
CPPA,14
CsBr,15
CsBr+SrI2,16
CsI,17
CsI+KI,18
CsI+RbI,19
CsI+RbI+KI,20
DMF+CB,21
DMSCl2,22
DMSO,23
DPSO,24
DSPC,25
DiSe,26
EACl,27
EMIC+n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI+benzylhydrazine dihydrochloride,28
FACl,29
FAH2PO2 +LP+n-octylammonium iodide+phenylethylammonium chloride+TPABr3,30
"FAH₂PO₃+FACl+PEABF₄
+GAPbI₃+LP+CsI+ZnCl₂
+CBH",31
FAI,32
FAI+CsI,33
FAI+MABr,34
FAI+MACl+CsI,35
FASCl,36
H2O+DMF,37
HI,38
InCl3,39
KCl,40
KCl+PbI2,41
KNCO,42
KPF6+PbCl2,43
L-AA,44
LP,45
LP+BMIMBF4+MACl+PbI2,46
LP+MACl+DMSO,47
LP+MACl+DMSO+MH2PO2,48
LP+MACl+PACl+PbI2+NMP,49
LP+methylammonium chloride+MAH2PO2,50
MAA,51
MABr,52
MACl,53
MACl+CsI,54
MACl+DMSO,55
MACl+FAI+CsI,56
MACl+HMPA,57
MACl+L-PC+MAH+PEC,58
MACl+MABr+CsBr,59
MACl+MABr+PC,60
MACl+MAPbBr3,61
MACl+NMP,62
MACl+PEACl+PbCl2+Me-4PACz+CBH,63
MACl+Pb(SCN)2,64
MACl+PbI2,65
MACl+SBLC,66
MACl+[Bcmim]Cl,67
MACl+p-F-PEAI,68
MAI,69
MAI+5AVAI,70
MAI+FAI,71
MAI+Kac,72
MAPbCl3,73
MDPPO,74
Mxene,75
NH3,76
NH4Ac+PbAc2+HPA,77
PBAI,78
PHNS+BNAC,79
PU,80
PZ,81
PbCl2,82
PbCl2+ Pb(Ac)2+MAI,83
PbCl2+FAI,84
PbCl2+MACl,85
PbCl2+PbAc2,86
PbI2,87
PbI2+5AVAI,88
PbI2+BNCl,89
PbI2+CsBr+Urea,90
PbI2+CsForm,91
PbI2+CsI,92
PbI2+CsI+MACl,93
PbI2+CsPbBr3,94
PbI2+Cyclen,95
PbI2+DIO+MACl,96
PbI2+DMPU,97
PbI2+H2O,98
PbI2+IPA,99
PbI2+KI,100
PbI2+KPb2Br5,101
PbI2+MAAc,102
PbI2+MACl,103
PbI2+NH4Cl,104
PbI2+OFPP,105
PbI2+PU,106
PbI2+PbBr2,107
PbI2+PbBr2+18C6,108
PbI2+PbCl2,109
PbI2+TPPO,110
PbI₂+ FAI+ MAI+ CsCl,111
Polyurethane,112
bis-DMEC60,113
iBA-iBDTC,114
n-butanol,115
n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI+BzH₂Cl₂+DMSO,116
sulfolane,117
t-BA,118
