Precursor_Solution_Addictive,Encoded_Value,PCE,Confidence,Bandgap
PHNS+BNAC,79,18.08150309765647,85.0,1.5966
PBAI,78,18.08150309765647,85.0,1.5966
PbCl2+FAI,84,18.08150309765647,85.0,1.5966
PbCl2+ Pb(Ac)2+MAI,83,18.08150309765647,85.0,1.5966
PU,80,18.08150309765647,85.0,1.5966
PbCl2,82,18.08150309765647,85.0,1.5966
PZ,81,18.08150309765647,85.0,1.5966
NH3,76,18.057240716808217,85.0,1.5966
Mxene,75,18.057240716808217,85.0,1.5966
MDPPO,74,18.057240716808217,85.0,1.5966
EACl,27,18.05572069006189,85.0,1.5966
DSPC,25,18.05572069006189,85.0,1.5966
DMSO,23,18.05572069006189,85.0,1.5966
DMSCl2,22,18.05572069006189,85.0,1.5966
EMIC+n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI+benzylhydrazine dihydrochloride,28,18.05572069006189,85.0,1.5966
BHC+LP+MAH2PO2+p-F-PEAI+NDDAI+ZnCl2,4,18.037235537811302,85.0,1.5966
BMCl,6,18.037235537811302,85.0,1.5966
BHC+n-DAI+LP+MAH2PO2+p-F-PEAI+DMSO,5,18.037235537811302,85.0,1.5966
L-α-PC,0,18.01948751345603,85.0,1.5966
4-CBA,2,18.01948751345603,85.0,1.5966
