Precursor_Solution_Addictive,Encoded_Value,Base_PCE,Calibrated_PCE,Confidence,Similarity_Score,High_PCE_Tendency,Additive_Effect_Score,Composition_Balance,GFF_Optimized,Bandgap
PbCI2+MACI,79,20.67284019627334,22.475230548460612,95.0,0.95,0.6,0.95,75.47619047619047,87.9526399036981,1.5239057676983174
MACI+PEACI+PbCI2+MeO-4PACz+CBH,59,20.65875132943647,22.471555660014626,95.0,0.95,0.6,0.95,75.47619047619047,87.9526399036981,1.5239057676983174
PbCI2,78,20.67284019627334,22.45455770826434,95.0,0.95,0.6,0.9,75.47619047619047,87.9526399036981,1.5239057676983174
PbI2+NH4Cl,98,20.60580126277358,22.43699656857529,95.0,0.95,0.6,0.9,75.47619047619047,87.9526399036981,1.5239057676983174
MACI+NMP,58,20.601132188760012,22.435760091966227,95.0,0.95,0.6,0.9,75.47619047619047,87.9526399036981,1.5239057676983174
PbI2+MACI,97,20.60580126277358,22.41639076731251,95.0,0.95,0.6,0.8500000000000001,75.47619047619047,87.9526399036981,1.5239057676983174
KNCO,38,20.526563410134067,22.4157762427173,95.0,0.95,0.6,0.9,75.47619047619047,87.9526399036981,1.5239057676983174
MACI+MAPbBr3,57,20.601132188760012,22.415158959777465,95.0,0.95,0.6,0.8500000000000001,75.47619047619047,87.9526399036981,1.5239057676983174
PU,76,20.67284019627334,22.413212027871793,95.0,0.95,0.6,0.8,75.47619047619047,87.9526399036981,1.5239057676983174
InCl3,37,20.526563410134067,22.395249679307163,95.0,0.95,0.6,0.8500000000000001,75.47619047619047,87.9526399036981,1.5239057676983174
PHNS+BNAC,75,20.67284019627334,22.392539187675517,95.0,0.95,0.6,0.75,75.47619047619047,87.9526399036981,1.5239057676983174
MACI+MABr+PC,56,20.560059019142066,22.383687716658205,95.0,0.95,0.6,0.8,75.47619047619047,87.9526399036981,1.5239057676983174
HMPA,36,20.529054235578705,22.375392837321186,95.0,0.95,0.6,0.8,75.47619047619047,87.9526399036981,1.5239057676983174
PbI2+KPb2Br5,95,20.60580126277358,22.375179164786964,95.0,0.95,0.6,0.75,75.47619047619047,87.9526399036981,1.5239057676983174
PBAI,74,20.67284019627334,22.371866347479244,95.0,0.95,0.6,0.7,75.47619047619047,87.9526399036981,1.5239057676983174
MACI+MABr+CsBr,55,20.560059019142066,22.363127657639062,95.0,0.95,0.6,0.75,75.47619047619047,87.9526399036981,1.5239057676983174
PbI2+KI,94,20.60580126277358,22.354573363524192,95.0,0.95,0.6,0.7,75.47619047619047,87.9526399036981,1.5239057676983174
CsI,16,20.387287508896886,22.33648547943592,95.0,0.95,0.6,0.8,75.47619047619047,87.9526399036981,1.5239057676983174
PbI2+IPA,93,20.60580126277358,22.333967562261417,95.0,0.95,0.6,0.65,75.47619047619047,87.9526399036981,1.5239057676983174
NH3,72,20.67284019627334,22.3305206670867,95.0,0.95,0.6,0.6,75.47619047619047,87.9526399036981,1.5239057676983174
